,epsilon,p,length,size
4423,0.6,0.15,6.65,0.5297000000000001
4422,0.6,0.175,7.79,0.70895
4421,0.6,0.2,7.2,0.7578500000000001
4420,0.6,0.225,7.24,0.8377
4419,0.6,0.25,6.98,0.8580500000000001
4418,0.6,0.275,6.45,0.8488999999999999
4417,0.6,0.3,6.49,0.9079
4416,0.6,0.325,6.26,0.9191499999999999
4415,0.6,0.35,5.8,0.9284
4414,0.6,0.375,5.84,0.9588500000000001
4413,0.6,0.4,5.29,0.9190999999999999
4412,0.6,0.425,5.39,0.9791499999999997
4411,0.6,0.45,5.13,0.9790000000000001
4410,0.6,0.475,4.96,0.9894
4409,0.6,0.5,4.84,0.9893
4408,0.6,0.525,4.69,0.9892500000000001
4407,0.6,0.55,4.5,0.9892500000000001
4406,0.6,0.575,4.32,0.9895499999999999
4405,0.6,0.6,4.25,0.9795
4404,0.6,0.625,4.18,0.9895
4403,0.6,0.65,4.04,0.99945
4402,0.6,0.675,3.92,0.9997499999999999
4401,0.6,0.7,3.84,0.9897
4400,0.6,0.725,3.77,0.9897
4399,0.6,0.75,3.62,0.9997499999999999
4398,0.6,0.775,3.65,0.99985
4397,0.6,0.8,3.56,0.9997499999999999
4396,0.6,0.825,3.48,0.9998500000000001
4395,0.6,0.85,3.44,0.99965
4394,0.6,0.875,3.41,0.9995499999999999
4393,0.6,0.9,3.29,0.9995499999999999
4392,0.6,0.925,3.24,0.9997
4391,0.6,0.95,3.23,0.9999000000000001
4390,0.6,0.975,3.2,0.9998500000000001
4389,0.6,1.0,3.08,0.9999000000000001
4388,0.8,0.0,1.0,0.004999999999999999
4387,0.8,0.005,1.02,0.005099999999999999
4386,0.8,0.01,1.16,0.0058
4385,0.8,0.015,1.29,0.0068000000000000005
4384,0.8,0.02,1.29,0.006850000000000002
4383,0.8,0.025,2.02,0.02504999999999999
4382,0.8,0.03,1.61,0.015749999999999997
4381,0.8,0.035,2.48,0.04554999999999998
4380,0.8,0.04,3.89,0.09475000000000001
4379,0.8,0.045,4.06,0.11230000000000001
4378,0.8,0.05,4.77,0.15089999999999998
4377,0.8,0.055,4.79,0.16184999999999994
4376,0.8,0.06,4.55,0.16169999999999995
4375,0.8,0.065,6.43,0.2607999999999999
4374,0.8,0.07,7.99,0.35960000000000003
4373,0.8,0.075,7.62,0.3588000000000001
4372,0.8,0.08,7.2,0.34989999999999993
4371,0.8,0.085,6.72,0.32980000000000004
4370,0.8,0.09,8.33,0.45745
4369,0.8,0.095,8.3,0.48735
4368,0.8,0.1,6.6,0.3893
4367,0.8,0.125,7.91,0.5674
4366,0.8,0.15,8.27,0.6967000000000002
4365,0.8,0.175,7.44,0.69765
4364,0.8,0.2,7.51,0.77775
4363,0.8,0.225,7.16,0.7990500000000001
4362,0.8,0.25,7.23,0.8789
4361,0.8,0.275,6.85,0.9178499999999999
4360,0.8,0.3,6.69,0.9083999999999999
4359,0.8,0.325,6.06,0.8896499999999999
4358,0.8,0.35,5.66,0.8990500000000001
4357,0.8,0.375,5.95,0.96855
4356,0.8,0.4,5.61,0.9792000000000001
4355,0.8,0.425,5.26,0.9692000000000002
4354,0.8,0.45,5.12,0.98835
4353,0.8,0.475,4.79,0.9494500000000001
4352,0.8,0.5,4.77,0.96915
4351,0.8,0.525,4.6,0.9793999999999999
4350,0.8,0.55,4.42,0.9893500000000001
4349,0.8,0.575,4.31,0.9897
4348,0.8,0.6,4.15,0.97945
4347,0.8,0.625,4.13,0.9793999999999999
4346,0.8,0.65,4.05,0.9895000000000002
