,p,q,length,size
648,0.045,0.0,1.18,0.0004880000000000001
647,0.045,0.1,1.24,0.0005280000000000001
646,0.045,0.2,1.3,0.0005600000000000001
645,0.045,0.3,1.2,0.0005040000000000001
644,0.045,0.4,1.56,0.0006479999999999999
643,0.045,0.5,1.32,0.000528
642,0.045,0.6,1.18,0.00048000000000000007
641,0.045,0.7,1.24,0.0005200000000000001
640,0.045,0.8,1.24,0.0005040000000000001
639,0.045,0.9,1.18,0.00047200000000000014
638,0.045,1.0,1.06,0.0004320000000000001
637,0.0475,0.0,1.08,0.00043200000000000004
636,0.0475,0.1,1.18,0.00047200000000000003
635,0.0475,0.2,1.06,0.0004320000000000001
634,0.0475,0.3,1.2,0.0004880000000000001
633,0.0475,0.4,1.34,0.000536
632,0.0475,0.5,1.34,0.000576
631,0.0475,0.6,1.12,0.0004560000000000001
630,0.0475,0.7,1.2,0.0004960000000000001
629,0.0475,0.8,1.36,0.0005520000000000001
628,0.0475,0.9,1.14,0.00045600000000000013
627,0.0475,1.0,1.2,0.0005040000000000001
626,0.05,0.0,1.1,0.00044800000000000005
625,0.05,0.1,1.3,0.0006079999999999999
624,0.05,0.2,1.26,0.0005280000000000001
623,0.05,0.3,1.24,0.0005040000000000001
622,0.05,0.4,1.18,0.00047200000000000003
621,0.05,0.5,1.28,0.000528
620,0.05,0.6,1.16,0.000472
619,0.05,0.7,1.14,0.0004640000000000001
618,0.05,0.8,1.14,0.0004560000000000001
617,0.05,0.9,1.36,0.0005760000000000001
616,0.05,1.0,1.22,0.000496
615,0.0525,0.0,1.26,0.000528
614,0.0525,0.1,1.12,0.00044800000000000005
613,0.0525,0.2,1.12,0.00044800000000000005
612,0.0525,0.3,1.26,0.0005440000000000002
611,0.0525,0.4,1.18,0.0004880000000000001
610,0.0525,0.5,1.26,0.000504
609,0.0525,0.6,1.14,0.000456
608,0.0525,0.7,1.38,0.0006000000000000001
607,0.0525,0.8,1.06,0.00042400000000000006
606,0.0525,0.9,1.28,0.0005520000000000001
605,0.0525,1.0,1.24,0.0005120000000000001
604,0.055,0.0,1.1,0.0004400000000000001
603,0.055,0.1,1.2,0.00048800000000000004
602,0.055,0.2,1.2,0.0005280000000000001
601,0.055,0.3,1.3,0.0005680000000000001
600,0.055,0.4,1.34,0.0005360000000000001
599,0.055,0.5,1.3,0.000536
598,0.055,0.6,1.22,0.000496
597,0.055,0.7,1.34,0.000544
596,0.055,0.8,1.12,0.0004640000000000001
595,0.055,0.9,1.1,0.0004400000000000001
594,0.055,1.0,1.3,0.000528
593,0.0575,0.0,1.16,0.0004880000000000001
592,0.0575,0.1,1.24,0.000528
591,0.0575,0.2,1.24,0.0005360000000000001
590,0.0575,0.3,1.18,0.00047200000000000003
589,0.0575,0.4,1.24,0.0005040000000000001
588,0.0575,0.5,1.46,0.0006160000000000001
587,0.0575,0.6,1.26,0.0005280000000000001
586,0.0575,0.7,1.48,0.000616
585,0.0575,0.8,1.28,0.0005440000000000002
584,0.0575,0.9,1.34,0.0005520000000000001
583,0.0575,1.0,1.2,0.0004880000000000001
582,0.06,0.0,1.12,0.00044800000000000005
581,0.06,0.1,1.12,0.0004640000000000001
580,0.06,0.2,1.16,0.0005040000000000001
579,0.06,0.3,1.26,0.0005120000000000001
578,0.06,0.4,1.38,0.0005840000000000001
577,0.06,0.5,1.12,0.00044800000000000005
576,0.06,0.6,1.22,0.0005120000000000001
575,0.06,0.7,1.22,0.0004960000000000001
574,0.06,0.8,1.4,0.0005920000000000001
573,0.06,0.9,1.24,0.0005200000000000001
572,0.06,1.0,1.2,0.00048
